COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L257950,H,47.3284365,-122.2431564,6/22/10,8:45:00,obsr184835,S6567067,15,,4.0469,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/20/10,8:20:00,obsr97255,S6564783,85,0.805,4.0469,2,1
Black Swift,Cypseloides niger,X,United States,US,Washington,US-WA,King,US-WA-033,5,L2439644,P,47.66258,-122.12052,6/20/10,6:30:00,obsr30851,S20420668,270,6.437,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L352323,H,47.599951,-122.134904,6/27/10,,obsr196219,S6599287,,,,1,1
Black Swift,Cypseloides niger,25,United States,US,Washington,US-WA,King,US-WA-033,5,L352323,H,47.599951,-122.134904,6/17/10,,obsr196219,S6599283,,,,1,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L352323,H,47.599951,-122.134904,6/8/10,,obsr196219,S6599280,,,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L552015,H,47.5089687,-121.8415546,7/18/10,7:00:00,obsr124466,S6651850,420,8.047,,8,1
Black Swift,Cypseloides niger,X,United States,US,Washington,US-WA,King,US-WA-033,9,L2300411,P,47.72803,-121.3379002,8/7/10,,obsr6441,S14820938,,,,2,0
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,8/12/10,5:30:00,obsr22459,S17204183,300,,161.8743,6,1
Black Swift,Cypseloides niger,6,United States,US,Washington,US-WA,King,US-WA-033,5,L162766,H,47.65424,-122.29137,9/12/10,8:30:00,obsr208083,S6869753,210,2.414,,1,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,9/30/10,6:20:00,obsr22459,S17204382,400,,161.8743,12,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L269461,H,47.6815336,-122.2505453,5/31/11,7:45:00,obsr107483,S8343577,195,2.414,,1,1
Black Swift,Cypseloides niger,25,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/16/11,5:30:00,obsr146271,S8416579,300,,72.8434,8,1
Black Swift,Cypseloides niger,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/16/11,5:35:00,obsr97255,S8415182,140,3.219,,10,1
Black Swift,Cypseloides niger,12,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/23/11,4:30:00,obsr22459,S17207585,330,,161.8743,10,1
Black Swift,Cypseloides niger,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/9/11,4:30:00,obsr22459,S17207590,360,,161.8743,12,1
Black Swift,Cypseloides niger,1,United States,US,Washington,US-WA,King,US-WA-033,5,L302242,P,47.658543,-122.1317053,6/22/11,9:25:00,obsr97255,S8460742,,,,2,0
