COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L269462,H,47.5628206,-122.3477372,1/9/16,10:00:00,obsr678300,S26808649,150,12.875,1,1,
Harlequin Duck,Histrionicus histrionicus,,6,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,1/7/16,10:00:00,obsr549579,S26808620,120,3.219,2,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,1/18/16,15:00:00,obsr533236,S26992790,90,1.609,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L467222,H,47.7635752,-122.3851633,1/18/16,10:45:00,obsr642323,S26990181,80,,1,0,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,1/18/16,10:47:00,obsr115374,S26990894,11,0.483,2,1,G1561551
Harlequin Duck,Histrionicus histrionicus,,8,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,1/1/16,13:11:00,obsr169860,S26617685,30,0.805,2,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,1/18/16,10:47:00,obsr162162,S27012092,11,0.483,2,1,G1561551
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L4052359,P,47.631286,-122.395435,1/2/16,9:56:00,obsr124466,S26633734,89,,1,1,
Harlequin Duck,Histrionicus histrionicus,,12,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,1/10/16,11:50:00,obsr527242,S26832154,20,1.609,2,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,1/20/16,9:30:00,obsr502185,S27029316,90,3.219,3,1,
Harlequin Duck,Histrionicus histrionicus,,8,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,1/30/16,9:09:00,obsr554943,S27207451,180,6.437,1,1,
Harlequin Duck,Histrionicus histrionicus,,7,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,1/30/16,10:40:00,obsr314455,S27206444,35,0.161,1,1,
Harlequin Duck,Histrionicus histrionicus,,8,United States,US,Washington,US-WA,King,US-WA-033,L331426,H,47.3733968,-122.3236098,1/30/16,9:50:00,obsr314455,S27205639,42,0.241,1,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L331426,H,47.3733968,-122.3236098,1/30/16,10:13:00,obsr504941,S27206208,51,0.161,1,1,
Harlequin Duck,Histrionicus histrionicus,,9,United States,US,Washington,US-WA,King,US-WA-033,L821941,P,47.450728,-122.3791122,1/3/16,6:30:00,obsr97255,S26649784,450,32.187,2,1,
Harlequin Duck,Histrionicus histrionicus,,5,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,1/3/16,11:59:00,obsr409383,S26646440,10,0.161,2,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L1284994,H,47.563362,-122.4064708,1/11/16,9:40:00,obsr231565,S26852625,15,0.161,1,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L3245188,P,47.39593,-122.325991,1/3/16,13:50:00,obsr50351,S26857644,78,0.966,3,1,G1548222
