COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/9/15,3:45:00,obsr22459,427,8.047,,6,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,7/23/15,4:00:00,obsr195629,375,,161.8743,13,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,5/12/16,5:05:00,obsr202620,300,13.679,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/12/16,4:30:00,obsr146271,385,,161.8743,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/12/16,4:30:00,obsr554038,385,,161.8743,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/19/16,5:38:00,obsr97255,339,8.851,,12,1
Lazuli Bunting,Passerina amoena,7,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/29/16,14:26:00,obsr726702,188,6.437,,2,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/24/16,6:15:00,obsr549263,195,3.219,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,5/17/16,10:25:00,obsr276734,60,0.483,,4,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,5/23/16,14:52:00,obsr198726,60,1.609,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/30/16,7:00:00,obsr343843,150,1.609,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1654368,P,47.6427075,-122.2851502,5/30/16,6:08:00,obsr34175,21,,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,5/13/16,9:30:00,obsr114791,135,7.242,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,5/13/16,5:50:00,obsr107483,315,15.933,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/19/16,4:00:00,obsr22459,450,,161.8743,12,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,5/20/16,8:16:00,obsr223235,176,3.38,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/19/16,4:00:00,obsr50136,450,,161.8743,12,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/19/16,4:00:00,obsr146271,450,,161.8743,12,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/20/16,10:00:00,obsr205538,180,4.828,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/30/16,11:20:00,obsr768554,214,5.793,,2,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,5/30/16,7:10:00,obsr314455,226,6.437,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/30/16,10:11:00,obsr726702,69,1.609,,2,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/30/16,7:20:00,obsr605395,120,3.219,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L784129,H,47.7402397,-121.9886577,5/30/16,8:30:00,obsr394275,90,3.219,,4,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,5/30/16,11:20:00,obsr536138,214,5.793,,2,1
